State,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Louisiana,2018,4.1851485135766735,12.21542247624345,31.952962009691895,-0.46879810953055945,2.8105331123080717,2.942717755319875,12.917995417966635,8.674203612668515,0.5526983437331638,6.753937464940822,4.605716357483836,9.108369181142056,15.354521285060642,9.497019084639454,58.385983796490024,32.16770551277281,5.149251777583499,0.4874271938622886,78.27137610665315,1.6960551916280033,4659978
Louisiana,2019,4.228516040934487,12.395021160326742,30.757934208312953,-0.628185759831374,2.9258727747124844,2.538529347611445,13.492920469870356,9.160254922817844,0.5541882419927489,6.692768059845198,5.81788965382231,9.778342512057966,15.352118389086547,9.482975584635499,58.245471836351534,32.14506816176411,5.382105552536851,0.5221139073918957,80.72565471007583,1.6884822948567437,4648794
Louisiana,2020,4.238100430423489,11.940728526341513,30.01832111997166,-0.9142521235739354,2.7911636275851857,3.0630878349228734,13.033291337726254,8.840320767885142,0.5673609994830627,6.795536559706552,5.107195108993273,9.399777526179031,15.350342589693376,8.928992407358962,57.51836098597018,31.377924063246006,5.507627766215441,0.4226226827618991,83.15906382978724,1.706719788088354,4640546
Louisiana,2021,4.323377335913757,12.62746680559259,30.320561188067508,-0.6312627891580239,3.587073721653049,3.4983424692698843,13.286552566140712,9.67619696803227,0.5767468266564452,6.730813938526143,4.567108793220169,9.416686292332237,15.346780853642555,8.981245216581925,56.89096585739721,31.01901862156678,5.5381357499177675,0.37830497830147486,85.53402499209608,1.701404319914974,4624047
Louisiana,2022,4.202284803782633,11.569305402483225,28.908307864445458,-1.2407044173586852,2.114832653365573,2.5433087282345306,12.983914377330203,8.716045224233337,0.5790729396262451,6.998216433516236,5.778284537295866,9.299620651726128,15.339443086104989,8.567807224065142,56.712076773311026,30.936393100057273,5.7124015928575425,0.43551090236874274,85.4980070471605,1.698025540177731,4590241
Maine,2011,3.2184449791746346,14.71696777865784,24.804922194749537,-0.9490955468795794,0.1407716507925062,4.549958289037395,9.533901759076608,5.886231525710487,0.11103636144365336,6.399696428517649,3.574710129074601,11.394697136248784,14.099326165264019,6.442310877676956,94.26316154038435,0.9704198502019293,1.3411504997786459,0.6118862691125051,74.20511022739306,1.7424060458182307,1328188
Maine,2012,3.543129961660919,13.785969220398558,24.953881756736422,-1.230390972424398,-0.5887726962128945,4.011910995552185,9.297565743323782,6.134600923643433,0.1141927522869004,6.318575495488989,3.2557873514734688,11.899635267139736,14.100081796786625,5.998230503945254,94.0938555152303,1.0018116269131925,1.3881365521309186,0.5613936887974047,74.20511022739306,1.755495966949362,1329192
Maine,2013,3.36421988373126,14.115088285645886,26.078557436486584,-0.915274529745482,-1.0376269413215815,3.611678669459204,9.338927779786228,5.929857619146738,0.11763815521062637,6.366699741474453,2.40463968261179,12.3059364511986,14.099411992803418,5.854165694247242,93.91124909847309,0.982909007138437,1.3876362453719109,0.6115326183352883,74.20511022739306,1.7448428479092035,1328302
Maine,2014,3.735539501492005,13.475865148873497,24.77886818100142,-1.365236840769008,-1.3131376835977466,3.056863112167682,9.552943487299055,6.0635711051012935,0.12236657648110028,6.13470226428457,3.2494905657442406,12.260232210025043,14.100756415252308,5.9705779086963355,93.6542592262623,1.2108964136986322,1.491554324560236,0.5858254598000585,75.97032596696135,2.6650358921942887,1330089
Maine,2015,3.3621498982944766,14.29669727862499,24.64508383183082,-1.117676585344603,-1.725589824869674,2.7684664732857507,9.49771287502797,5.602630835653472,0.12377832112118325,6.226980850474827,3.13334380398932,11.759024108421698,14.1001841093516,5.987912689719919,93.58126812946091,1.0421807108554095,1.5159539255924799,0.6386685603553074,78.06891087365607,1.7430698462655854,1329328
Maine,2016,3.812902794561537,12.998477632767772,24.13601716587344,-1.6412323156882187,-3.1408670741741322,2.2951920383273037,8.523680547718467,4.741752247677087,0.1270106645744452,6.08346057279161,3.567541780341995,12.300607069281604,14.10180091242568,5.56809382648919,93.4004216363908,1.3491012625809344,1.5557136087013015,0.5354947393086936,81.6905541135312,1.7588759733664372,1331479
Maine,2017,3.4009103927144633,13.657762104697408,22.901070209228635,-1.6489389392830225,-3.950911216241782,2.2077135608990743,7.68302218837287,3.8670213454254387,0.12797435634670284,6.037920304332562,2.940788219246395,12.3045990476882,14.105121019877343,5.598219037702474,93.35155815487155,1.1797976954982645,1.6392608168083558,0.6156865709963344,82.90184653550455,1.793024979711956,1335907
Maine,2018,3.5428764408952755,13.484941766462144,23.897268687182642,-1.523727992229063,-4.053011492959715,1.8578097495225658,8.115628950723032,4.41271104861066,0.13406282008919068,5.853464275360802,4.098191460645612,12.274769053290337,14.106988417293442,5.11512219031025,93.02131493928589,1.3823180444768546,1.6744570398773466,0.612968879351825,84.64546288227218,1.7879983938475241,1338404
Maine,2019,3.899087346341202,12.579712128741596,23.95715854344404,-1.812798826015714,-4.165004550051285,1.8204717708218645,8.320345595849503,3.8815030211743706,0.1377167316123078,5.827652185815928,2.6641369854277603,11.935319726352688,14.111318525721124,5.007692239021821,92.8215936176734,1.5281815665981258,1.7160239605062295,0.6657432012212359,85.36761398700877,1.820821522337165,1344212
Maine,2020,3.7972887064550322,11.799123449375216,22.266229391147732,-2.3812882968037314,-4.496378360517339,2.104101908703251,7.776659335507401,3.90677247436967,0.16353784484122047,5.870226321537965,3.765039360374655,11.588947356485136,14.128091807036462,4.371779781103758,91.41804119978141,1.5430714679187008,1.8945842163826154,0.44420091751777135,87.7693095873699,1.8067710954682406,1366949
Maine,2021,4.085853348558969,11.44582571504984,20.42037621506915,-2.8365308894461845,-4.2309897120807225,2.5090963944537683,7.593333176107516,4.4376425560875035,0.18855328299063656,5.65605171663702,3.5994733251899675,11.206874564127304,14.131960100219183,4.047740676423413,90.03874666878485,1.4918597016426343,1.9112448414899068,0.3339049019600699,90.09005670236816,1.816473671975284,1372247
Maine,2022,4.072574241702398,10.246076775376443,21.729539318867573,-2.9943677878879322,-5.034739190573189,1.7030476272972699,7.789697656515863,3.812745936980662,0.1860209952370856,5.710511498982199,3.811059218508485,10.878412519670261,14.141456154841105,3.9822715001371503,90.17519164970332,1.5579568914490305,2.0729207270417374,0.37572003984581404,91.02352735166139,1.793113929738427,1385340
Maryland,2011,13.926917488134169,12.87916573800647,29.624354591887947,-0.6753737917420498,2.0366408457322773,4.846979962730057,12.166593191808731,4.676655187098533,0.6108760612189155,7.073705507739922,4.464707621861062,8.325290664206939,15.5782340332627,7.478884454768801,54.23653494190147,29.10970955626943,8.398777068192741,0.21512316908101162,79.88638466378002,1.7587238705524482,5828289
Maryland,2012,14.263353115600937,12.711479170160978,30.596545571863192,-0.5528591535778217,1.6541422784965274,4.491089652706581,12.039206253646794,4.853463174271695,0.6165804364265299,6.982812487520314,4.443892204078679,8.153876507057534,15.587843039334821,7.372391118932706,53.806255451764216,28.823737633533703,8.674356957347555,0.2119273767652755,79.88638466378002,1.7674060129294065,5884563
Maryland,2013,14.206045256268792,13.142476724687265,30.536208422122872,-0.42105639734463457,1.05071573179477,4.046897069127148,11.75867843529107,4.714805151548795,0.6209127872486908,6.883096686790983,3.7923659098387628,8.09910717387997,15.595334750971242,7.35513038526761,53.165776494253315,29.13567536441521,8.968893272752359,0.23861433332197637,79.88638466378002,1.7724191369675437,5928814
Maryland,2014,14.899236280260029,13.70944114080584,31.43182852171882,-0.0690656945675956,0.76110324071253,3.8696829047954733,11.7364246863683,4.715073809547999,0.627365738769878,6.745039285309719,3.6950344926235847,8.088505351124848,15.603330109232058,7.071372481827291,52.433728158072235,29.197660065654834,9.306243701274026,0.17841823691057185,80.72256051662528,2.667246995757902,5976407
Maryland,2015,15.176842172209282,14.271674501918868,31.594677078669907,0.14712094268843792,-0.37091569161589055,2.9269108073203904,11.326651771816778,4.482183573974234,0.6336072820567382,6.666138341412769,3.722788160744365,8.217283528022854,15.608336291863392,7.086872821178606,51.86187202619339,29.03284346150049,9.527552356227964,0.1722495717485396,81.94072914973547,1.798771220799161,6006401
Maryland,2016,15.32249847792227,13.449599074004972,31.473525820139358,-0.14755289568267926,-0.6569877318105326,2.9125994129093136,11.225626601332236,4.208356932313341,0.6362728046178938,6.593160381866574,3.2093451589158932,8.208864800105445,15.610007443713268,6.7685961498538925,51.40118412079422,29.34690524158195,9.752101198597778,0.20306004523932478,86.11177054090913,1.801713434035478,6016447
Maryland,2017,15.332268041731098,13.543176281856924,30.513136017006776,-0.2924695305051754,-0.908473445821749,2.815829741925922,10.843126781836805,4.157940111708964,0.6427680245090813,6.49131709135407,2.907688214950785,8.090196304569414,15.615928599992785,6.939800339613332,50.6618692744776,29.35624652088001,10.123778600658904,0.19627648034748488,87.92398825193911,1.8190752411383277,6052177
Maryland,2018,15.145353465112885,13.911041355893158,29.46038521076112,-0.36339189652854054,-1.50538619348734,2.6606735578261307,10.417182814477862,3.9942958615663366,0.6460310045859621,6.41155188774323,2.430310207900001,8.31023390467667,15.614364468691363,6.555510285272289,50.228192015579744,29.49153013594214,10.39987303726568,0.16054033962862407,88.35890944454599,1.824498010997615,6042718
