Year,DMA,GT MVT
2017,Yakima-Pasco-Richland-Kennewick WA,58.5
2017,Youngstown OH,55.0
2017,Yuma AZ-El Centro CA,57.0
2018,Abilene-Sweetwater TX,42.17
2018,Albany GA,32.0
2018,Albany-Schenectady-Troy NY,36.12
2018,Albuquerque-Santa Fe NM,84.21
2018,Amarillo TX,51.39
2018,Anchorage AK,86.5
2018,Atlanta GA,62.27
2018,Augusta GA,55.48
2018,Austin TX,48.55
2018,Bakersfield CA,94.7
2018,Baltimore MD,54.36
2018,Bangor ME,38.0
2018,Baton Rouge LA,52.79
2018,Beaumont-Port Arthur TX,42.5
2018,Bend OR,46.0
2018,"Billings, MT",86.0
2018,Birmingham AL,50.58
2018,Boise ID,38.32
2018,Boston MA-Manchester NH,33.06
2018,Bowling Green KY,50.0
2018,Buffalo NY,43.82
2018,Burlington VT-Plattsburgh NY,32.33
2018,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,25.5
2018,Champaign & Springfield-Decatur IL,25.88
2018,Charleston SC,61.73
2018,Charleston-Huntington WV,40.24
2018,Charlotte NC,54.64
2018,Chattanooga TN,50.61
2018,Cheyenne WY-Scottsbluff NE,100.0
2018,Chicago IL,49.85
2018,Chico-Redding CA,60.5
2018,Cincinnati OH,45.33
2018,Cleveland-Akron (Canton) OH,46.03
2018,Colorado Springs-Pueblo CO,86.15
2018,Columbia SC,58.94
2018,Columbia-Jefferson City MO,42.5
2018,Columbus GA,31.5
2018,Columbus OH,49.0
2018,Corpus Christi TX,44.0
2018,Dallas-Ft. Worth TX,49.52
2018,Davenport IA-Rock Island-Moline IL,63.48
2018,Dayton OH,55.97
2018,Denver CO,62.45
2018,Des Moines-Ames IA,39.24
2018,Detroit MI,42.39
2018,Duluth MN-Superior WI,38.0
2018,El Paso TX,47.18
2018,Eugene OR,43.7
2018,Eureka CA,78.5
2018,Evansville IN,26.5
2018,Fargo-Valley City ND,30.5
2018,Flint-Saginaw-Bay City MI,35.0
2018,Florence-Myrtle Beach SC,43.62
2018,Fresno-Visalia CA,88.3
2018,Ft. Myers-Naples FL,51.64
2018,Ft. Smith-Fayetteville-Springdale-Rogers AR,41.0
2018,Ft. Wayne IN,24.5
2018,Gainesville FL,33.5
2018,Grand Rapids-Kalamazoo-Battle Creek MI,41.79
2018,Green Bay-Appleton WI,32.55
2018,Greensboro-High Point-Winston Salem NC,53.21
2018,Greenville-New Bern-Washington NC,27.5
2018,Greenville-Spartanburg SC-Asheville NC-Anderson SC,52.88
2018,Harlingen-Weslaco-Brownsville-McAllen TX,22.33
2018,Harrisburg-Lancaster-Lebanon-York PA,38.64
2018,Hartford & New Haven CT,73.18
2018,Honolulu HI,58.76
2018,Houston TX,57.82
2018,Huntsville-Decatur (Florence) AL,47.18
2018,Indianapolis IN,53.15
2018,Jackson MS,40.11
2018,Jacksonville FL,54.48
2018,Johnstown-Altoona PA,33.5
2018,Joplin MO-Pittsburg KS,51.0
2018,Kansas City MO,68.15
2018,Knoxville TN,45.76
2018,La Crosse-Eau Claire WI,24.0
2018,Lafayette LA,27.5
2018,Lansing MI,36.52
2018,Las Vegas NV,81.24
2018,Lexington KY,43.15
2018,Lincoln & Hastings-Kearney NE,39.53
2018,Little Rock-Pine Bluff AR,49.27
2018,Los Angeles CA,72.0
2018,Louisville KY,61.85
2018,Lubbock TX,48.0
2018,Macon GA,48.0
2018,Madison WI,59.61
2018,Marquette MI,77.0
2018,Medford-Klamath Falls OR,37.5
2018,Memphis TN,81.94
2018,Miami-Ft. Lauderdale FL,54.67
2018,Milwaukee WI,63.3
2018,Minneapolis-St. Paul MN,47.18
2018,Mobile AL-Pensacola (Ft. Walton Beach) FL,41.27
2018,Monroe LA-El Dorado AR,39.0
2018,Monterey-Salinas CA,75.0
2018,Montgomery (Selma) AL,46.5
2018,Nashville TN,59.58
2018,New Orleans LA,60.64
2018,New York NY,43.12
2018,Norfolk-Portsmouth-Newport News VA,54.39
2018,Odessa-Midland TX,25.5
2018,Oklahoma City OK,61.91
2018,Omaha NE,53.73
2018,Orlando-Daytona Beach-Melbourne FL,50.94
2018,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,42.85
2018,Palm Springs CA,63.5
2018,Panama City FL,48.0
2018,Peoria-Bloomington IL,40.03
2018,Philadelphia PA,44.33
2018,Phoenix AZ,51.3
2018,Pittsburgh PA,25.3
2018,Portland OR,83.15
2018,Portland-Auburn ME,30.33
2018,Providence RI-New Bedford MA,39.85
